ADD,                               1,07/17/2022,22:12:26,22:14:08,     102,       0,       0,       0,      16,       3,       0,       0,       0
ADD,                               1,07/17/2022,22:14:58,22:15:29,      31,       0,       0,       0,       5,       0,       0,       0,       0
ADD,                               1,07/17/2022,22:16:29,22:19:42,     193,       0,       0,       0,      34,       7,       0,       0,       0
ADD,                               0,07/17/2022,22:21:06,22:21:29,      23,       0,       0,       0,      10,       0,       0,       0,       0
ADD,                               1,07/17/2022,22:41:41,22:46:27,     286,       0,       1,       6,      58,       8,       0,       0,       0
ADD,                 <No ID Entered>,07/18/2022,10:38:47,10:41:49,     182,       0,       1,       4,      63,       4,       0,       0,       0
ADD,                 <No ID Entered>,07/18/2022,11:03:56,11:05:31,      95,       0,       1,       4,      30,       1,       0,       0,       0
ADD,                 <No ID Entered>,07/18/2022,11:10:16,11:10:16,       0,       0,       0,       0,       1,       0,       0,       0,       0
ADD,                 <No ID Entered>,07/18/2022,11:12:21,11:12:51,      30,       0,       0,       0,      14,       0,       0,       0,       0
ADD,                 <No ID Entered>,07/18/2022,11:18:02,11:22:34,     272,       0,       1,       5,      97,       0,       0,       0,       0
ADD,                 <No ID Entered>,08/30/2022,01:29:34,01:30:39,      65,       0,       0,       0,      16,       0,       0,       0,       0
ADD,                 <No ID Entered>,08/30/2022,01:31:08,01:31:24,      16,       0,       0,       0,       7,       0,       0,       0,       0
ADD,                 <No ID Entered>,08/30/2022,01:33:42,01:34:33,      51,       0,       0,       0,      18,       0,       0,       0,       0
ADD,                 <No ID Entered>,09/10/2022,20:54:43,21:01:04,     381,       0,       0,       0,      18,       0,       0,       0,       0
ADD,                 <No ID Entered>,09/10/2022,21:01:27,21:01:38,      11,       0,       0,       0,       6,       0,       0,       0,       0
ADD,                 <No ID Entered>,09/10/2022,21:04:54,21:05:23,      29,       0,       0,       0,      11,       0,       0,       0,       0
ADD,                 <No ID Entered>,09/10/2022,21:07:25,21:07:35,      10,       0,       0,       0,       7,       0,       0,       0,       0
ADD,                 <No ID Entered>,09/12/2022,09:18:25,09:20:33,     128,       0,       1,       4,      82,       1,       0,       0,       0
ADD,                 <No ID Entered>,09/12/2022,10:45:29,10:50:26,     297,       0,       1,       4,      46,       1,       0,       0,       0
ADD,                 <No ID Entered>,09/12/2022,17:38:39,17:42:07,     208,       0,       1,       4,      50,       0,       0,       0,       0
